"","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","d11","d12","d13","d14","d15","d16","class"
"1",2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8,"T"
"2",5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10,"I"
"3",4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9,"D"
"4",7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8,"N"
"5",2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10,"G"
"6",4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7,"S"
"7",4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10,"B"
"8",1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7,"A"
"9",2,2,4,4,2,10,6,2,6,12,4,8,1,6,1,7,"J"
"10",11,15,13,9,7,13,2,6,2,12,1,9,8,1,1,8,"M"
"11",3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7,"X"
"12",6,13,4,7,4,6,7,6,3,10,7,9,5,9,5,8,"O"
"13",4,9,6,7,6,7,8,6,2,6,5,11,4,8,7,8,"G"
"14",6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,"M"
"15",5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11,"R"
"16",6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9,"F"
"17",3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8,"O"
"18",7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9,"C"
"19",6,11,6,8,5,6,11,5,6,11,9,4,3,12,2,4,"T"
"20",2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7,"J"
"21",1,3,2,2,1,8,8,2,5,14,5,8,0,7,0,7,"J"
"22",4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8,"H"
"23",3,2,3,3,2,8,8,7,5,7,5,7,2,8,9,8,"S"
"24",6,11,7,8,5,7,6,9,6,7,5,9,4,8,5,5,"O"
"25",3,6,4,4,2,6,6,4,4,14,8,12,1,6,1,6,"J"
"26",6,11,7,8,3,7,8,7,11,4,7,14,1,7,4,8,"C"
"27",7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7,"M"
"28",12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6,"W"
"29",6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8,"H"
"30",3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8,"G"
"31",2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8,"L"
"32",1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9,"L"
"33",8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4,"X"
"34",5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7,"B"
"35",6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7,"M"
"36",4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8,"G"
"37",4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8,"O"
"38",3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8,"P"
"39",4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11,"G"
"40",3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8,"E"
"41",5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8,"X"
"42",3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9,"E"
"43",4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9,"X"
"44",4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11,"G"
"45",7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8,"V"
"46",4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8,"X"
"47",5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8,"W"
"48",1,3,2,1,1,7,7,5,6,7,5,10,1,9,3,9,"G"
"49",8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7,"R"
"50",3,9,4,7,2,7,5,6,10,5,6,10,0,9,9,8,"S"
"51",7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3,"Y"
"52",3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8,"L"
"53",2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,7,"Y"
"54",4,5,6,6,5,8,10,4,4,7,7,9,3,7,7,5,"J"
"55",4,9,5,6,4,7,8,7,7,8,4,7,2,7,9,8,"S"
"56",6,9,7,11,7,8,5,7,5,9,6,9,3,8,6,8,"Q"
"57",3,5,5,4,4,9,3,4,3,8,4,9,3,6,4,8,"Q"
"58",2,6,3,4,2,6,7,10,8,6,6,6,3,8,3,8,"D"
"59",6,10,4,5,2,6,9,6,6,11,7,7,2,9,5,9,"C"
"60",5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9,"L"
"61",3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8,"N"
"62",2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8,"C"
"63",6,9,4,4,2,7,7,4,7,10,6,10,1,9,7,9,"E"
"64",4,9,5,6,5,7,6,3,5,6,6,9,2,8,8,8,"X"
"65",3,3,4,1,2,8,7,5,6,7,6,8,5,8,3,7,"H"
